Rank;Person A;Person B;Recommendation;Uncertainty Score;Samples A;Samples B;Fail Rate A;Fail Rate B;Fail Reasons A;Fail Reasons B;Intra Variance A;Intra Variance B;Confusion Distance;Outliers A;Outliers B;Issue A;Issue B
1;Stormie Adams;Storm A;Hög varians i Stormie Adams tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person.;0.632;9;33;25%;43%;high_yaw(3);"high_yaw(20); low_focus(3); high_pitch(1)";0.5335;0.1767;0.2054;0;2;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Storm A (avstånd 0.205)";"Ömsesidig förväxling med Stormie Adams (avstånd 0.205); 2 outlier-embedding(s)"
2;Stracy Stone;Stracy Stone_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Stracy Stone' och 'Stracy Stone_1' i merge.txt. | Stracy Stone har 85% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.618;5;5;85%;0%;"high_yaw(13); low_focus(7); high_pitch(6)";;0.1316;0.1316;0.0000;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Stracy Stone_1 (avstånd 0.000); Hög andel misslyckade bilder (85%)";"Få träningsbilder (5 st); Ömsesidig förväxling med Stracy Stone (avstånd 0.000)"
3;Soma Snakeoil;Anikka Albrite;Hög varians i Soma Snakeoil tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Soma Snakeoil har 90% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Anikka Albrite har 86% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.613;5;70;90%;86%;"multiple_faces(23); high_yaw(10); no_faces(7)";"high_yaw(224); no_faces(86); multiple_faces(56)";0.4257;0.2158;0.3780;0;1;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Anikka Albrite (avstånd 0.378); Hög andel misslyckade bilder (90%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Soma Snakeoil (avstånd 0.378); Hög andel misslyckade bilder (86%); 1 outlier-embedding(s)"
4;Tammi Lee;Tammie Lee;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Tammi Lee' och 'Tammie Lee' i merge.txt.;0.612;6;62;50%;47%;"high_yaw(2); no_faces(2); low_focus(1)";"high_yaw(28); no_faces(12); high_pitch(5)";0.1133;0.1466;0.0492;1;3;"Få träningsbilder (6 st); Ömsesidig förväxling med Tammie Lee (avstånd 0.049); 1 outlier-embedding(s)";"Ömsesidig förväxling med Tammi Lee (avstånd 0.049); 3 outlier-embedding(s)"
5;Jayden Starr;Destiny Dream;Personerna har liknande ansiktsdrag (avstånd 0.195). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Jayden Starr har 97% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Destiny Dream har 94% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.605;4;4;97%;94%;"high_yaw(68); no_faces(47); multiple_faces(15)";"high_yaw(28); multiple_faces(18); no_faces(9)";0.1216;0.1164;0.1948;0;0;"Få träningsbilder (4 st); Ömsesidig förväxling med Destiny Dream (avstånd 0.195); Hög andel misslyckade bilder (97%)";"Få träningsbilder (4 st); Ömsesidig förväxling med Jayden Starr (avstånd 0.195); Hög andel misslyckade bilder (94%)"
6;Iva Rogned;Iva Sonnenschein_1;Extremt lika embeddings (avstånd 0.068). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder.;0.594;7;10;46%;0%;"high_yaw(4); low_focus(1); high_pitch(1)";;0.1339;0.1420;0.0679;1;0;"Få träningsbilder (7 st); Ömsesidig förväxling med Iva Sonnenschein_1 (avstånd 0.068); 1 outlier-embedding(s)";Ömsesidig förväxling med Iva Rogned (avstånd 0.068)
7;Amai Lui;Amai Liu;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Amai Lui' och 'Amai Liu' i merge.txt. | Amai Lui har 56% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Amai Liu har 67% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.594;4;19;56%;67%;"high_pitch(2); high_yaw(2); low_focus(1)";"high_yaw(23); high_pitch(11); low_focus(5)";0.1102;0.1699;0.1145;0;1;"Få träningsbilder (4 st); Ömsesidig förväxling med Amai Liu (avstånd 0.114); Hög andel misslyckade bilder (56%)";"Ömsesidig förväxling med Amai Lui (avstånd 0.114); Hög andel misslyckade bilder (67%); 1 outlier-embedding(s)"
8;Gia DiMarco;Audrey Rose;Extremt lika embeddings (avstånd 0.104). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Gia DiMarco har 97% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Audrey Rose har 72% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.590;6;76;97%;72%;"high_yaw(108); no_faces(44); multiple_faces(34)";"high_yaw(81); multiple_faces(39); no_faces(34)";0.0852;0.1696;0.1037;0;4;"Få träningsbilder (6 st); Ömsesidig förväxling med Audrey Rose (avstånd 0.104); Hög andel misslyckade bilder (97%)";"Ömsesidig förväxling med Gia DiMarco (avstånd 0.104); Hög andel misslyckade bilder (72%); 4 outlier-embedding(s)"
9;Bridgit A Ossia;Bridgit A;Extremt lika embeddings (avstånd 0.083). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Bridgit A Ossia har 62% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Bridgit A har 60% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.587;9;20;62%;60%;"high_yaw(8); high_pitch(4); low_focus(3)";"no_faces(13); high_yaw(8); low_focus(5)";0.2498;0.1619;0.0830;0;1;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Bridgit A (avstånd 0.083); Hög andel misslyckade bilder (62%)";"Ömsesidig förväxling med Bridgit A Ossia (avstånd 0.083); Hög andel misslyckade bilder (60%); 1 outlier-embedding(s)"
10;Jesse Capelli;Jesse Capelli_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Jesse Capelli' och 'Jesse Capelli_1' i merge.txt. | Jesse Capelli har 81% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.587;6;6;81%;0%;"high_yaw(16); low_focus(5); high_pitch(2)";;0.1126;0.1126;0.0000;0;0;"Få träningsbilder (6 st); Ömsesidig förväxling med Jesse Capelli_1 (avstånd 0.000); Hög andel misslyckade bilder (81%)";"Få träningsbilder (6 st); Ömsesidig förväxling med Jesse Capelli (avstånd 0.000)"
