Rank;Person A;Person B;Recommendation;Uncertainty Score;Samples A;Samples B;Fail Rate A;Fail Rate B;Fail Reasons A;Fail Reasons B;Intra Variance A;Intra Variance B;Confusion Distance;Outliers A;Outliers B;Issue A;Issue B
11;Bella Beyle;Nikki Johnson;Personerna har liknande ansiktsdrag (avstånd 0.238). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Bella Beyle har 85% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Nikki Johnson har 56% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.586;6;24;85%;56%;"high_yaw(33); no_faces(25); low_focus(6)";"high_yaw(14); no_faces(11); high_pitch(5)";0.1207;0.1649;0.2383;1;1;"Få träningsbilder (6 st); Ömsesidig förväxling med Nikki Johnson (avstånd 0.238); Hög andel misslyckade bilder (85%); 1 outlier-embedding(s)";"Ömsesidig förväxling med Bella Beyle (avstånd 0.238); Hög andel misslyckade bilder (56%); 1 outlier-embedding(s)"
12;Amber Swallows;Britney Amber;Personerna har liknande ansiktsdrag (avstånd 0.178). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Amber Swallows har 77% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Britney Amber har 76% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Amber Swallows har bara 3 bilder – samla fler träningsbilder.;0.584;3;97;77%;76%;"high_yaw(6); low_focus(2); no_faces(2)";"high_yaw(174); multiple_faces(52); no_faces(39)";0.0642;0.1949;0.1775;0;5;"Mycket få träningsbilder (3 st); Ömsesidig förväxling med Britney Amber (avstånd 0.178); Hög andel misslyckade bilder (77%)";"Ömsesidig förväxling med Amber Swallows (avstånd 0.178); Hög andel misslyckade bilder (76%); 5 outlier-embedding(s)"
13;Koko Amaris;Amaris;Extremt lika embeddings (avstånd 0.093). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Koko Amaris har 53% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Koko Amaris har bara 3 bilder – samla fler träningsbilder.;0.582;3;57;53%;40%;"high_yaw(6); high_pitch(2)";"high_yaw(17); high_pitch(13); no_faces(6)";0.0576;0.1390;0.0927;0;4;"Mycket få träningsbilder (3 st); Ömsesidig förväxling med Amaris (avstånd 0.093); Hög andel misslyckade bilder (53%)";"Ömsesidig förväxling med Koko Amaris (avstånd 0.093); 4 outlier-embedding(s)"
14;Sunny Lane;Sunny Lane_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Sunny Lane' och 'Sunny Lane_1' i merge.txt. | Sunny Lane har 79% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.580;7;7;79%;0%;"high_yaw(16); no_faces(7); high_pitch(3)";;0.1352;0.1352;0.0000;0;0;"Få träningsbilder (7 st); Ömsesidig förväxling med Sunny Lane_1 (avstånd 0.000); Hög andel misslyckade bilder (79%)";"Få träningsbilder (7 st); Ömsesidig förväxling med Sunny Lane (avstånd 0.000)"
15;Vanilla DeVille;Vanilla DeVille_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Vanilla DeVille' och 'Vanilla DeVille_1' i merge.txt. | Vanilla DeVille har 81% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.578;8;12;81%;0%;"high_yaw(29); high_pitch(4); low_focus(1)";;0.1542;0.1492;0.1979;1;0;"Ömsesidig förväxling med Vanilla DeVille_1 (avstånd 0.198); Hög andel misslyckade bilder (81%); 1 outlier-embedding(s)";Ömsesidig förväxling med Vanilla DeVille (avstånd 0.198)
16;Coco Lovelock;Coco Lovelock_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Coco Lovelock' och 'Coco Lovelock_1' i merge.txt. | Coco Lovelock har 92% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.571;5;5;92%;0%;"high_yaw(41); multiple_faces(9); high_pitch(3)";;0.1288;0.1123;0.2178;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Coco Lovelock_1 (avstånd 0.218); Hög andel misslyckade bilder (92%)";"Få träningsbilder (5 st); Ömsesidig förväxling med Coco Lovelock (avstånd 0.218)"
17;Taini Ahe;Taini A;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Taini Ahe' och 'Taini A' i merge.txt. | Taini Ahe har 69% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Taini A har 83% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.569;4;7;69%;83%;"high_yaw(7); high_pitch(2)";"no_faces(15); high_yaw(9); low_focus(8)";0.3216;0.1347;0.3601;0;1;"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Taini A (avstånd 0.360); Hög andel misslyckade bilder (69%)";"Få träningsbilder (7 st); Ömsesidig förväxling med Taini Ahe (avstånd 0.360); Hög andel misslyckade bilder (83%); 1 outlier-embedding(s)"
18;Blake Blossom;Blake Blossom_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Blake Blossom' och 'Blake Blossom_1' i merge.txt. | Blake Blossom har 84% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.567;10;10;84%;0%;"high_yaw(25); high_pitch(17); no_faces(4)";;0.1337;0.1337;0.0000;1;1;"Ömsesidig förväxling med Blake Blossom_1 (avstånd 0.000); Hög andel misslyckade bilder (84%); 1 outlier-embedding(s)";"Ömsesidig förväxling med Blake Blossom (avstånd 0.000); 1 outlier-embedding(s)"
19;Tristana Ahe;Tristana A;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Tristana Ahe' och 'Tristana A' i merge.txt. | Tristana A har 62% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.564;5;23;36%;62%;"high_yaw(2); high_pitch(2)";"high_yaw(17); no_faces(13); high_pitch(5)";0.1226;0.1380;0.0356;0;2;"Få träningsbilder (5 st); Ömsesidig förväxling med Tristana A (avstånd 0.036)";"Ömsesidig förväxling med Tristana Ahe (avstånd 0.036); Hög andel misslyckade bilder (62%); 2 outlier-embedding(s)"
20;Alyssa Dior;Alissia_1_1;Extremt lika embeddings (avstånd 0.110). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Alyssa Dior har bara 3 bilder – samla fler träningsbilder.;0.564;3;9;17%;0%;high_yaw(2);;0.0949;0.1098;0.1098;0;0;"Mycket få träningsbilder (3 st); Ömsesidig förväxling med Alissia_1_1 (avstånd 0.110)";Ömsesidig förväxling med Alyssa Dior (avstånd 0.110)
21;Rea Ready;Alison Lip;Extremt lika embeddings (avstånd 0.057). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Rea Ready har 82% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Alison Lip har 57% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.558;9;45;82%;57%;"no_faces(20); high_yaw(14); low_focus(4)";"high_yaw(30); no_faces(18); multiple_faces(6)";0.1513;0.1667;0.0575;0;4;"Ömsesidig förväxling med Alison Lip (avstånd 0.057); Hög andel misslyckade bilder (82%)";"Ömsesidig förväxling med Rea Ready (avstånd 0.057); Hög andel misslyckade bilder (57%); 4 outlier-embedding(s)"
22;Disha Yudina;Victoria Lobov;Extremt lika embeddings (avstånd 0.134). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Victoria Lobov har 61% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.557;6;65;0%;61%;;"high_yaw(79); multiple_faces(17); no_faces(13)";0.1033;0.1874;0.1340;1;3;"Få träningsbilder (6 st); Ömsesidig förväxling med Victoria Lobov (avstånd 0.134); 1 outlier-embedding(s)";"Ömsesidig förväxling med Disha Yudina (avstånd 0.134); Hög andel misslyckade bilder (61%); 3 outlier-embedding(s)"
23;Helena Valle;Vanessa Bruni;Personerna har liknande ansiktsdrag (avstånd 0.263). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Helena Valle har 92% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Vanessa Bruni har 89% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.556;4;4;92%;89%;"high_yaw(33); multiple_faces(16); no_faces(4)";"multiple_faces(20); high_yaw(8); high_pitch(4)";0.1226;0.0750;0.2628;0;0;"Få träningsbilder (4 st); Ömsesidig förväxling med Vanessa Bruni (avstånd 0.263); Hög andel misslyckade bilder (92%)";"Få träningsbilder (4 st); Ömsesidig förväxling med Helena Valle (avstånd 0.263); Hög andel misslyckade bilder (89%)"
24;Giada Suicide;Jordan Perry;Personerna har liknande ansiktsdrag (avstånd 0.200). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Giada Suicide har 80% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Jordan Perry har 51% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.554;5;9;80%;51%;"high_yaw(18); multiple_faces(15); no_faces(6)";"high_yaw(12); multiple_faces(7)";0.0962;0.1251;0.2001;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Jordan Perry (avstånd 0.200); Hög andel misslyckade bilder (80%)";"Ömsesidig förväxling med Giada Suicide (avstånd 0.200); Hög andel misslyckade bilder (51%)"
25;Foxy_1;Sofilie;Extremt lika embeddings (avstånd 0.111). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder.;0.550;6;107;0%;48%;;"high_yaw(40); no_faces(37); low_focus(11)";0.0890;0.1543;0.1111;1;5;"Få träningsbilder (6 st); Ömsesidig förväxling med Sofilie (avstånd 0.111); 1 outlier-embedding(s)";"Ömsesidig förväxling med Foxy_1 (avstånd 0.111); 5 outlier-embedding(s)"
26;Hot Svenja;Svenja Van Den Bogaart;Extremt lika embeddings (avstånd 0.002). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Svenja Van Den Bogaart har 74% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.549;4;9;0%;74%;;"no_faces(23); high_yaw(11); low_focus(4)";0.1308;0.1260;0.0016;0;0;"Få träningsbilder (4 st); Ömsesidig förväxling med Svenja Van Den Bogaart (avstånd 0.002)";"Ömsesidig förväxling med Hot Svenja (avstånd 0.002); Hög andel misslyckade bilder (74%)"
27;Scarlett Envy;Alexa Cruz;Personerna har liknande ansiktsdrag (avstånd 0.167). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Scarlett Envy har 79% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Alexa Cruz har 84% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.547;5;22;79%;84%;"high_yaw(15); no_faces(7); low_focus(3)";"high_yaw(57); multiple_faces(24); low_focus(15)";0.0406;0.1491;0.1668;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Alexa Cruz (avstånd 0.167); Hög andel misslyckade bilder (79%)";"Ömsesidig förväxling med Scarlett Envy (avstånd 0.167); Hög andel misslyckade bilder (84%)"
28;Brooke Shields;Britt Shields;Extremt lika embeddings (avstånd 0.062). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Brooke Shields har 56% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.546;10;46;56%;0%;"no_faces(36); high_yaw(32); high_pitch(16)";;0.1468;0.1535;0.0618;1;0;"Ömsesidig förväxling med Britt Shields (avstånd 0.062); Hög andel misslyckade bilder (56%); 1 outlier-embedding(s)";Ömsesidig förväxling med Brooke Shields (avstånd 0.062)
29;Airi Miyazaki;Airi Mizusawa;Personerna har liknande ansiktsdrag (avstånd 0.155). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Airi Miyazaki har 86% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Airi Mizusawa har 94% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.545;10;13;86%;94%;"high_yaw(59); no_faces(19); low_focus(18)";"high_yaw(64); multiple_faces(59); low_focus(48)";0.1720;0.0707;0.1549;0;0;"Ömsesidig förväxling med Airi Mizusawa (avstånd 0.155); Hög andel misslyckade bilder (86%)";"Ömsesidig förväxling med Airi Miyazaki (avstånd 0.155); Hög andel misslyckade bilder (94%)"
30;Suzie Diamond;Suzie Diamond_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Suzie Diamond' och 'Suzie Diamond_1' i merge.txt. | Suzie Diamond har 87% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.544;9;18;87%;0%;"high_yaw(42); low_focus(14); no_faces(3)";;0.1688;0.1545;0.2373;1;0;"Ömsesidig förväxling med Suzie Diamond_1 (avstånd 0.237); Hög andel misslyckade bilder (87%); 1 outlier-embedding(s)";Ömsesidig förväxling med Suzie Diamond (avstånd 0.237)
31;Angel Kelly;Carmen Joy;Extremt lika embeddings (avstånd 0.099). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Angel Kelly har 56% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.543;7;23;56%;0%;"high_yaw(34); high_pitch(4); no_faces(2)";;0.1075;0.1805;0.0991;0;1;"Få träningsbilder (7 st); Ömsesidig förväxling med Carmen Joy (avstånd 0.099); Hög andel misslyckade bilder (56%)";"Ömsesidig förväxling med Angel Kelly (avstånd 0.099); 1 outlier-embedding(s)"
32;Blonde Cat;Cat OConnell;Personerna har liknande ansiktsdrag (avstånd 0.322). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Blonde Cat har 87% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Cat OConnell har 80% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Blonde Cat har bara 3 bilder – samla fler träningsbilder.;0.539;3;7;87%;80%;"high_yaw(10); high_pitch(8); low_focus(2)";"high_yaw(13); high_pitch(11); low_focus(3)";0.1433;0.1180;0.3222;0;0;"Mycket få träningsbilder (3 st); Ömsesidig förväxling med Cat OConnell (avstånd 0.322); Hög andel misslyckade bilder (87%)";"Få träningsbilder (7 st); Ömsesidig förväxling med Blonde Cat (avstånd 0.322); Hög andel misslyckade bilder (80%)"
33;Charlotte O Ryan_1;Charlotte O Ryan;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Charlotte O Ryan_1' och 'Charlotte O Ryan' i merge.txt. | Charlotte O Ryan har 51% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.538;6;7;0%;51%;;"high_yaw(20); high_pitch(8)";0.1303;0.1438;0.1889;1;0;"Få träningsbilder (6 st); Ömsesidig förväxling med Charlotte O Ryan (avstånd 0.189); 1 outlier-embedding(s)";"Få träningsbilder (7 st); Ömsesidig förväxling med Charlotte O Ryan_1 (avstånd 0.189); Hög andel misslyckade bilder (51%)"
34;Sneila;Susie Pink;Extremt lika embeddings (avstånd 0.023). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Sneila har 100% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.537;10;33;100%;50%;"multiple_faces(6); no_faces(1)";"high_yaw(11); no_faces(5); multiple_faces(5)";0.1075;0.1513;0.0226;0;1;"Ömsesidig förväxling med Susie Pink (avstånd 0.023); Hög andel misslyckade bilder (100%)";"Ömsesidig förväxling med Sneila (avstånd 0.023); 1 outlier-embedding(s)"
35;Leigh Darby;Leigh Darby_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Leigh Darby' och 'Leigh Darby_1' i merge.txt. | Leigh Darby har 75% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.534;8;8;75%;0%;"high_yaw(21); no_faces(2); high_pitch(1)";;0.0856;0.0856;0.0000;0;0;"Ömsesidig förväxling med Leigh Darby_1 (avstånd 0.000); Hög andel misslyckade bilder (75%)";Ömsesidig förväxling med Leigh Darby (avstånd 0.000)
36;Victoria Secret_1;Sydney Cole_1;Extremt lika embeddings (avstånd 0.121). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder.;0.529;5;6;0%;0%;;;0.1240;0.0995;0.1209;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Sydney Cole_1 (avstånd 0.121)";"Få träningsbilder (6 st); Ömsesidig förväxling med Victoria Secret_1 (avstånd 0.121)"
37;Bridgett Harrington;Harmony Rose;Hög varians i Bridgett Harrington tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Bridgett Harrington har 94% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Harmony Rose har 80% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.529;8;22;94%;80%;"no_faces(57); high_yaw(27); multiple_faces(17)";"high_yaw(56); multiple_faces(10); no_faces(8)";0.5638;0.1808;0.4948;0;1;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Harmony Rose (avstånd 0.495); Hög andel misslyckade bilder (94%)";"Ömsesidig förväxling med Bridgett Harrington (avstånd 0.495); Hög andel misslyckade bilder (80%); 1 outlier-embedding(s)"
38;Angela dAngelo;Binky Bangs;Extremt lika embeddings (avstånd 0.142). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Angela dAngelo har 77% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Binky Bangs har 75% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.528;8;32;77%;75%;"multiple_faces(12); high_yaw(10); low_focus(3)";"high_yaw(43); no_faces(24); low_focus(14)";0.0732;0.1840;0.1418;0;2;"Ömsesidig förväxling med Binky Bangs (avstånd 0.142); Hög andel misslyckade bilder (77%)";"Ömsesidig förväxling med Angela dAngelo (avstånd 0.142); Hög andel misslyckade bilder (75%); 2 outlier-embedding(s)"
39;Ginger Nadin;Aina Barnes;Hög varians i Ginger Nadin tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Ginger Nadin har 71% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Aina Barnes har 88% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Ginger Nadin har bara 2 bilder – samla fler träningsbilder.;0.527;2;4;71%;88%;"high_yaw(3); high_pitch(2)";"high_yaw(17); multiple_faces(13); low_focus(9)";0.2719;0.0961;0.4422;0;0;"Mycket få träningsbilder (2 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Aina Barnes (avstånd 0.442); Hög andel misslyckade bilder (71%)";"Få träningsbilder (4 st); Ömsesidig förväxling med Ginger Nadin (avstånd 0.442); Hög andel misslyckade bilder (88%)"
40;Fay Suicide;Gloom;Hög varians i Fay Suicide och Gloom tyder på blandade identiteter. → Granska bilderna i dessa mappar och flytta felplacerade bilder till rätt person. | Fay Suicide har 70% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.526;12;4;70%;0%;"multiple_faces(15); high_yaw(10); low_focus(2)";;0.4825;0.3493;0.3473;0;0;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Gloom (avstånd 0.347); Hög andel misslyckade bilder (70%)";"Få träningsbilder (4 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Fay Suicide (avstånd 0.347)"
41;Madlin Moon;Madlin Moon_1;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Madlin Moon' och 'Madlin Moon_1' i merge.txt. | Madlin Moon har 68% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.523;7;6;68%;0%;"high_yaw(36); high_pitch(2)";;0.1289;0.1230;0.2035;0;0;"Få träningsbilder (7 st); Ömsesidig förväxling med Madlin Moon_1 (avstånd 0.204); Hög andel misslyckade bilder (68%)";"Få träningsbilder (6 st); Ömsesidig förväxling med Madlin Moon (avstånd 0.204)"
