Rank;Person A;Person B;Recommendation;Uncertainty Score;Samples A;Samples B;Fail Rate A;Fail Rate B;Fail Reasons A;Fail Reasons B;Intra Variance A;Intra Variance B;Confusion Distance;Outliers A;Outliers B;Issue A;Issue B
263;Yuka Hata;;90% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.379;5;;90%;;"high_yaw(23); no_faces(17); low_focus(5)";;0.2440;;0.6451;0;;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (90%)";
264;Hikaru Momose;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 87% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.379;2;;87%;;"no_faces(8); high_yaw(4); low_focus(1)";;0.1505;;0.6156;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (87%)";
265;Irene Ashley;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.379;5;;29%;;ok(2);;0.3666;;0.7344;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen";
266;Taylor Kennedy;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.378;6;;50%;;ok(6);;0.3561;;0.6895;0;;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen";
267;Madisin Blaze;Maitresse Madeline Marlowe;Hög varians i Madisin Blaze tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Madisin Blaze har 67% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Maitresse Madeline Marlowe har 68% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.378;4;24;67%;68%;ok(8);"high_yaw(49); low_focus(1)";0.2560;0.2239;0.6832;0;2;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Maitresse Madeline Marlowe (avstånd 0.683); Hög andel misslyckade bilder (67%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Madisin Blaze (avstånd 0.683); Hög andel misslyckade bilder (68%); 2 outlier-embedding(s)"
268;Celia Blanco;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 88% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.378;3;;88%;;"high_yaw(18); no_faces(5)";;0.1787;;0.6284;0;;"Mycket få träningsbilder (3 st); Hög andel misslyckade bilder (88%)";
269;Tilly Hannon;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 59% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.378;7;;59%;;"high_yaw(9); no_faces(1)";;0.3713;;0.6683;0;;"Få träningsbilder (7 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (59%)";
270;Tina Russell;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 73% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.378;3;;73%;;ok(8);;0.2100;;0.7331;0;;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (73%)";
271;Cecilia Vega;Adella Skyy;Hög varians i Cecilia Vega tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Adella Skyy har 74% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.378;6;13;45%;74%;ok(5);"high_yaw(19); no_faces(18)";0.2533;0.2210;0.6633;1;1;"Få träningsbilder (6 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Adella Skyy (avstånd 0.663); 1 outlier-embedding(s)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Cecilia Vega (avstånd 0.663); Hög andel misslyckade bilder (74%); 1 outlier-embedding(s)"
272;Rika Sakurai;Shiho Kano;Hög varians i Shiho Kano tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Rika Sakurai har 70% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Shiho Kano har 66% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Rika Sakurai har bara 3 bilder – samla fler träningsbilder.;0.378;3;17;70%;66%;ok(7);"high_yaw(18); low_focus(12); no_faces(3)";0.1632;0.3147;0.5600;0;1;"Mycket få träningsbilder (3 st); Ömsesidig förväxling med Shiho Kano (avstånd 0.560); Hög andel misslyckade bilder (70%)";"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Rika Sakurai (avstånd 0.560); Hög andel misslyckade bilder (66%); 1 outlier-embedding(s)"
273;Amber Bassick;Indya Mirales;Personerna har liknande ansiktsdrag (avstånd 0.652). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Amber Bassick har 67% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Indya Mirales har 62% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Amber Bassick har bara 2 bilder – samla fler träningsbilder. | Indya Mirales har bara 3 bilder – samla fler träningsbilder.;0.377;2;3;67%;62%;ok(4);ok(5);0.1882;0.0660;0.6516;0;0;"Mycket få träningsbilder (2 st); Ömsesidig förväxling med Indya Mirales (avstånd 0.652); Hög andel misslyckade bilder (67%)";"Mycket få träningsbilder (3 st); Ömsesidig förväxling med Amber Bassick (avstånd 0.652); Hög andel misslyckade bilder (62%)"
274;Emuna Lotti;;80% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.377;5;;80%;;ok(20);;0.2614;;0.6297;0;;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (80%)";
275;Charlotta Phillip;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.377;7;;42%;;ok(5);;0.3094;;0.7221;1;;"Få träningsbilder (7 st); Hög varians – troligen blandade identiteter i mappen; 1 outlier-embedding(s)";
276;Sarah Banks;Tay Dash;Hög varians i Sarah Banks tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Sarah Banks har 84% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Tay Dash har 72% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.377;8;13;84%;72%;"high_yaw(23); no_faces(18); low_focus(2)";"high_yaw(16); no_faces(11); low_focus(6)";0.2693;0.2076;0.6438;1;0;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Tay Dash (avstånd 0.644); Hög andel misslyckade bilder (84%); 1 outlier-embedding(s)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Sarah Banks (avstånd 0.644); Hög andel misslyckade bilder (72%)"
277;Jenny King;Coco Bianca;Hög varians i Jenny King tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Coco Bianca har 66% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.377;6;47;14%;66%;ok(1);ok(91);0.3700;0.2119;0.5571;0;2;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Coco Bianca (avstånd 0.557)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Jenny King (avstånd 0.557); Hög andel misslyckade bilder (66%); 2 outlier-embedding(s)"
278;Janine Lindemulder;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 96% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.377;2;;96%;;ok(43);;0.1292;;0.6307;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (96%)";
279;Janaya Love;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 70% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.376;3;;70%;;ok(7);;0.2129;;0.6562;0;;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (70%)";
280;Shy Angela;;67% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.376;5;;67%;;ok(10);;0.2861;;0.6925;0;;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (67%)";
281;Jess Black;;Låg men mätbar osäkerhet – ingen akut åtgärd krävs.;0.376;7;;50%;;ok(7);;0.2632;;0.5724;1;;"Få träningsbilder (7 st); Medelhög varians – möjligen blandade bilder; 1 outlier-embedding(s)";
282;Rebeka Ruby;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 82% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.376;9;;82%;;"no_faces(24); high_yaw(16); low_focus(1)";;0.3146;;0.6640;1;;"Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (82%); 1 outlier-embedding(s)";
283;Cassie Bender;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen.;0.376;3;;50%;;ok(3);;0.2526;;0.6813;0;;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder";
284;Parker Swayze;;56% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.376;7;;56%;;ok(9);;0.2781;;0.6219;1;;"Få träningsbilder (7 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (56%); 1 outlier-embedding(s)";
285;Dani Divine;;84% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.376;8;;84%;;"high_yaw(24); low_focus(12); no_faces(6)";;0.2678;;0.6546;1;;"Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (84%); 1 outlier-embedding(s)";
286;Tyna Shy;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.376;5;;44%;;ok(4);;0.3301;;0.6759;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen";
287;Amiee Roberts;Skyie Blew;Hög varians i Amiee Roberts tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Skyie Blew har 64% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.376;7;4;42%;64%;ok(5);ok(7);0.2815;0.2156;0.5804;1;0;"Få träningsbilder (7 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Skyie Blew (avstånd 0.580); 1 outlier-embedding(s)";"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Amiee Roberts (avstånd 0.580); Hög andel misslyckade bilder (64%)"
288;Veronica Franco;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 85% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.376;3;;85%;;ok(17);;0.1821;;0.6889;0;;"Mycket få träningsbilder (3 st); Hög andel misslyckade bilder (85%)";
289;Rinka Aiuchi;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 96% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.376;2;;96%;;"high_yaw(29); low_focus(12); no_faces(7)";;0.1257;;0.5991;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (96%)";
290;Sally Sparrow;;84% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.376;4;;84%;;"high_yaw(17); no_faces(3); low_focus(1)";;0.2173;;0.6704;0;;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (84%)";
291;Devyn Devine;;85% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.376;6;;85%;;"high_yaw(20); low_focus(14)";;0.1708;;0.6122;1;;"Få träningsbilder (6 st); Hög andel misslyckade bilder (85%); 1 outlier-embedding(s)";
292;Anastasya Luna;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 96% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.376;2;;96%;;"no_faces(27); low_focus(14); high_yaw(7)";;0.1260;;0.7258;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (96%)";
293;Busty Merilyn;Merilyn Sakova;Hög varians i Merilyn Sakova tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Busty Merilyn har bara 2 bilder – samla fler träningsbilder.;0.376;2;28;0%;46%;;"high_yaw(15); no_faces(7); ok(4)";0.2245;0.2762;0.5282;0;1;"Mycket få träningsbilder (2 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Merilyn Sakova (avstånd 0.528)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Busty Merilyn (avstånd 0.528); 1 outlier-embedding(s)"
294;Reina Leone;Jordan Dalhart;Hög varians i Reina Leone tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person.;0.376;4;27;50%;31%;ok(4);high_yaw(12);0.2846;0.1316;0.6367;0;2;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Jordan Dalhart (avstånd 0.637)";"Ömsesidig förväxling med Reina Leone (avstånd 0.637); 2 outlier-embedding(s)"
295;Alana Rains;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.376;7;;42%;;ok(5);;0.3059;;0.6784;1;;"Få träningsbilder (7 st); Hög varians – troligen blandade identiteter i mappen; 1 outlier-embedding(s)";
296;Zafira May;;86% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.376;5;;86%;;ok(31);;0.2455;;0.6397;0;;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (86%)";
297;Skylar Anke;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen.;0.375;3;;50%;;ok(3);;0.2508;;0.7167;0;;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder";
298;Nerine Mechanique;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 94% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.375;3;;94%;;"no_faces(30); high_yaw(15); low_focus(2)";;0.1626;;0.7040;0;;"Mycket få träningsbilder (3 st); Hög andel misslyckade bilder (94%)";
299;Sweet Claudia;;Låg men mätbar osäkerhet – ingen akut åtgärd krävs.;0.375;4;;43%;;ok(3);;0.2981;;0.6402;0;;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder";
300;Veronica Carso;;Låg men mätbar osäkerhet – ingen akut åtgärd krävs.;0.375;6;;40%;;ok(4);;0.2592;;0.6543;1;;"Få träningsbilder (6 st); Medelhög varians – möjligen blandade bilder; 1 outlier-embedding(s)";
301;Beverly Hills;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.375;9;;50%;;ok(9);;0.3761;;0.6796;1;;"Hög varians – troligen blandade identiteter i mappen; 1 outlier-embedding(s)";
302;Anny Castro;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.375;5;;44%;;ok(4);;0.3279;;0.6983;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen";
303;Amaia Salamanca;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.375;9;;25%;;ok(3);;0.6341;;0.6791;0;;Hög varians – troligen blandade identiteter i mappen;
304;Valentina Rossi;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 70% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.375;3;;70%;;ok(7);;0.2100;;0.6685;0;;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (70%)";
305;Shelby Angel;Alice Wonderbang;Personerna har liknande ansiktsdrag (avstånd 0.652). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Shelby Angel har 60% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Alice Wonderbang har 73% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Shelby Angel har bara 2 bilder – samla fler träningsbilder. | Alice Wonderbang har bara 3 bilder – samla fler träningsbilder.;0.375;2;3;60%;73%;ok(3);ok(8);0.1963;0.1256;0.6515;0;0;"Mycket få träningsbilder (2 st); Ömsesidig förväxling med Alice Wonderbang (avstånd 0.652); Hög andel misslyckade bilder (60%)";"Mycket få träningsbilder (3 st); Ömsesidig förväxling med Shelby Angel (avstånd 0.652); Hög andel misslyckade bilder (73%)"
306;Vanessa Bruni;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.375;5;;38%;;ok(3);;0.3412;;0.6636;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen";
307;Tonya Elliott;;58% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.375;5;;58%;;ok(7);;0.2995;;0.6610;0;;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (58%)";
308;Brianna Star;;54% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.375;6;;54%;;ok(7);;0.2307;;0.7234;1;;"Få träningsbilder (6 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (54%); 1 outlier-embedding(s)";
309;Cassandra Cain;;Låg men mätbar osäkerhet – ingen akut åtgärd krävs.;0.375;6;;50%;;ok(6);;0.2383;;0.6670;1;;"Få träningsbilder (6 st); Medelhög varians – möjligen blandade bilder; 1 outlier-embedding(s)";
310;Isabella Cruz;Skin Diamond;Hög varians i Isabella Cruz och Skin Diamond tyder på blandade identiteter. → Granska bilderna i dessa mappar och flytta felplacerade bilder till rätt person. | Skin Diamond har 55% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.375;8;22;27%;55%;ok(3);ok(27);0.4613;0.2797;0.6251;0;1;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Skin Diamond (avstånd 0.625)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Isabella Cruz (avstånd 0.625); Hög andel misslyckade bilder (55%); 1 outlier-embedding(s)"
311;Sandra Romain;;54% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.375;6;;54%;;ok(7);;0.2303;;0.6532;1;;"Få träningsbilder (6 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (54%); 1 outlier-embedding(s)";
312;Jennifer Steele;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.375;6;;50%;;ok(6);;0.3490;;0.6538;0;;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen";
313;Carmen Croft;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 64% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.374;9;;64%;;ok(16);;0.3468;;0.6198;1;;"Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (64%); 1 outlier-embedding(s)";
314;Sienna Rae;;67% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.374;4;;67%;;ok(8);;0.2488;;0.6907;0;;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (67%)";
315;Stormy Rose;;Låg men mätbar osäkerhet – ingen akut åtgärd krävs.;0.374;6;;25%;;ok(2);;0.2874;;0.6703;1;;"Få träningsbilder (6 st); Medelhög varians – möjligen blandade bilder; 1 outlier-embedding(s)";
316;Marta Zawadzka;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen.;0.374;3;;40%;;ok(2);;0.2675;;0.6079;0;;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder";
317;Rin Nohara;Chun Li;Personerna har liknande ansiktsdrag (avstånd 0.516). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Rin Nohara har 71% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Rin Nohara har bara 2 bilder – samla fler träningsbilder.;0.374;2;8;71%;33%;"high_yaw(3); no_faces(2)";high_yaw(4);0.0617;0.2146;0.5158;0;0;"Mycket få träningsbilder (2 st); Ömsesidig förväxling med Chun Li (avstånd 0.516); Hög andel misslyckade bilder (71%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Rin Nohara (avstånd 0.516)"
318;Gea Ahe;Alice Fiery;Hög varians i Gea Ahe tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Alice Fiery har 61% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.374;6;23;50%;61%;ok(6);ok(36);0.3472;0.1630;0.6714;0;1;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Alice Fiery (avstånd 0.671)";"Ömsesidig förväxling med Gea Ahe (avstånd 0.671); Hög andel misslyckade bilder (61%); 1 outlier-embedding(s)"
319;Amadea Emily;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 57% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;3;;57%;;ok(4);;0.2325;;0.6643;0;;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (57%)";
320;Endza Ash;;Låg men mätbar osäkerhet – ingen akut åtgärd krävs.;0.373;6;;50%;;ok(6);;0.2356;;0.7163;1;;"Få träningsbilder (6 st); Medelhög varians – möjligen blandade bilder; 1 outlier-embedding(s)";
321;Jennla Moore;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.373;5;;38%;;ok(3);;0.3382;;0.6593;0;;"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen";
322;Aicha Lark;;58% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;5;;58%;;ok(7);;0.2960;;0.6327;0;;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (58%)";
323;Sara Redz;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 90% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;3;;90%;;ok(28);;0.1653;;0.6666;0;;"Mycket få träningsbilder (3 st); Hög andel misslyckade bilder (90%)";
324;Jade Wolf;;Låg men mätbar osäkerhet – ingen akut åtgärd krävs.;0.373;7;;47%;;ok(7);;0.2906;;0.6683;1;;"Få träningsbilder (7 st); Medelhög varians – möjligen blandade bilder; 1 outlier-embedding(s)";
325;Jade Saint James;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 93% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;2;;93%;;"high_yaw(11); low_focus(8); no_faces(6)";;0.1270;;0.6701;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (93%)";
326;Susy Blue;;79% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;4;;79%;;ok(15);;0.2208;;0.6466;0;;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (79%)";
327;Hikaru Ayami;;Bara 3 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 75% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;3;;75%;;"low_focus(4); high_yaw(4); no_faces(1)";;0.1952;;0.6064;0;;"Mycket få träningsbilder (3 st); Hög andel misslyckade bilder (75%)";
328;Carly Cumslut;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen.;0.373;8;;50%;;ok(8);;0.4117;;0.6541;0;;Hög varians – troligen blandade identiteter i mappen;
329;Tsubasa Aihara;;71% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.373;4;;71%;;ok(10);;0.2134;;0.5779;0;;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (71%)";
330;Alexis Onfire;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 67% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.372;2;;67%;;ok(4);;0.1783;;0.7232;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (67%)";
331;Inara Byrne;;Bara 2 träningsbild(er). → Samla fler bilder för att förbättra igenkänningen. | 92% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.372;2;;92%;;"low_focus(10); no_faces(10); high_yaw(2)";;0.1281;;0.7549;0;;"Mycket få träningsbilder (2 st); Hög andel misslyckade bilder (92%)";
332;Veronica Wild;;Hög varians tyder på att mappen innehåller bilder av flera personer. → Granska och rensa mappen. | 78% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.372;7;;78%;;ok(25);;0.3216;;0.6139;0;;"Få träningsbilder (7 st); Hög varians – troligen blandade identiteter i mappen; Hög andel misslyckade bilder (78%)";
333;Jasmine Jade;;Låg men mätbar osäkerhet – ingen akut åtgärd krävs.;0.372;7;;36%;;ok(4);;0.2974;;0.5877;1;;"Få träningsbilder (7 st); Medelhög varians – möjligen blandade bilder; 1 outlier-embedding(s)";
334;Angel Sway;Allison Chandler;Personerna har liknande ansiktsdrag (avstånd 0.568). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder.;0.372;7;9;46%;25%;ok(6);ok(3);0.2487;0.1639;0.5682;1;1;"Få träningsbilder (7 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Allison Chandler (avstånd 0.568); 1 outlier-embedding(s)";"Ömsesidig förväxling med Angel Sway (avstånd 0.568); 1 outlier-embedding(s)"
335;Lindsey Pelas;Jaiden West;Personerna har liknande ansiktsdrag (avstånd 0.625). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Lindsey Pelas har 62% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Jaiden West har 67% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Lindsey Pelas har bara 3 bilder – samla fler träningsbilder.;0.372;3;10;62%;67%;ok(5);"high_yaw(18); low_focus(1); no_faces(1)";0.2188;0.2190;0.6249;0;0;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Jaiden West (avstånd 0.625); Hög andel misslyckade bilder (62%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Lindsey Pelas (avstånd 0.625); Hög andel misslyckade bilder (67%)"
336;Tyla Wynn;;67% av bilderna misslyckades. → Byt ut dåliga bilder mot tydligare ansiktsfoton.;0.372;4;;67%;;ok(8);;0.2437;;0.6427;0;;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Hög andel misslyckade bilder (67%)";
337;Claudia Bella;Gleicy Santos;Personerna har liknande ansiktsdrag (avstånd 0.638). → Kontrollera att bilderna ligger i rätt mappar. Överväg att lägga till fler distinkta bilder. | Claudia Bella har 75% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Claudia Bella har bara 2 bilder – samla fler träningsbilder.;0.372;2;7;75%;0%;ok(6);;0.1603;0.2004;0.6382;0;0;"Mycket få träningsbilder (2 st); Ömsesidig förväxling med Gleicy Santos (avstånd 0.638); Hög andel misslyckade bilder (75%)";"Få träningsbilder (7 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Claudia Bella (avstånd 0.638)"
