label,count,min,median,mean,max,std,centroid_norm
Sally Lynn,62,0.20880720019340515,17.6635799407959,17.09790802001953,19.922664642333984,3.2206528186798096,17.097909927368164
Cindy White,78,0.46157267689704895,20.38543701171875,16.270551681518555,23.396827697753906,7.802605628967285,16.270553588867188
Sidney Scarlet,18,0.6175961494445801,16.831409454345703,15.62824821472168,19.28156852722168,4.1963210105896,15.62824821472168
Ayane Okura,44,0.6678139567375183,16.244091033935547,15.626770973205566,19.87018585205078,3.822822093963623,15.626770973205566
Ann Takase,67,0.7415246367454529,16.506488800048828,15.26508617401123,19.402896881103516,3.7812352180480957,15.265085220336914
Amilia Onyx,110,0.7918483018875122,14.182281494140625,13.565471649169922,17.88890838623047,2.999603033065796,13.565470695495605
Corina Taylor,42,1.6161046028137207,16.067228317260742,15.277817726135254,20.606525421142578,3.571906566619873,15.277815818786621
Yuwa Tokona,27,1.702845573425293,17.090633392333984,14.634784698486328,20.647462844848633,5.127354145050049,14.634785652160645
Akari Niiyama,31,1.8878235816955566,16.2196102142334,14.48580265045166,18.780044555664062,4.151207447052002,14.485803604125977
Celestia Star,57,2.2476353645324707,17.317424774169922,15.811524391174316,20.93338394165039,4.2263007164001465,15.811524391174316
Anna Lovejoy,39,2.350546360015869,15.080636978149414,14.312129020690918,19.03119659423828,3.7098264694213867,14.312129974365234
Erena Mizuhara,43,2.8411779403686523,14.87985610961914,14.133646011352539,19.06583023071289,3.2553136348724365,14.133646965026855
Bella Margo,44,3.264819860458374,14.135335922241211,12.245499610900879,18.17078971862793,3.998359203338623,12.245499610900879
Valentina Lopez,23,3.6147828102111816,18.084678649902344,17.300689697265625,19.748775482177734,3.289458990097046,17.30069351196289
Amara Bhunawat,40,4.016066551208496,18.016460418701172,16.749658584594727,20.908321380615234,4.122275352478027,16.749658584594727
Dany Sun,25,4.028691291809082,17.299474716186523,15.870879173278809,19.83013916015625,4.213991641998291,15.870879173278809
Yui Nishikawa,62,4.12232780456543,14.512174606323242,13.791204452514648,18.001558303833008,2.9272873401641846,13.791204452514648
Aihara Miho,60,4.22602653503418,15.176527976989746,14.137502670288086,17.370925903320312,2.801403284072876,14.137502670288086
Yumi Tanaka,9,4.973774433135986,13.857660293579102,12.616098403930664,16.137802124023438,3.5811681747436523,12.616098403930664
Whitney Williams,55,7.01492166519165,16.85601806640625,16.37821388244629,19.924762725830078,2.66501522064209,16.378211975097656
Hikaru Kirishima,55,7.078177452087402,19.21780014038086,17.925504684448242,21.628658294677734,3.8869149684906006,17.925504684448242
Alexis Cherry,25,7.292135715484619,18.165443420410156,15.748299598693848,20.679527282714844,4.784040927886963,15.748298645019531
Timea Bella,45,7.498692035675049,12.998359680175781,12.905096054077148,16.203968048095703,2.0157933235168457,12.905095100402832
Jessica Right,53,7.555815696716309,14.80820083618164,13.878324508666992,17.28244972229004,2.814765453338623,13.878323554992676
Victoria Rainbow,90,7.6165361404418945,17.449867248535156,17.08403968811035,20.076114654541016,2.001291036605835,17.084041595458984
Tiffany Drake,65,8.151751518249512,17.13528823852539,16.56634521484375,19.837074279785156,2.4833407402038574,16.566341400146484
Hibiki Ohtsuki,32,8.785320281982422,17.315662384033203,16.844444274902344,20.2371768951416,2.1458170413970947,16.844446182250977
Airi Sasaki,7,9.036611557006836,20.522138595581055,17.0136775970459,21.163461685180664,5.172102928161621,17.013681411743164
Mercedes Lynn,15,9.355158805847168,15.169251441955566,15.462539672851562,19.636621475219727,2.433877468109131,15.462541580200195
Abby Byens,30,9.84848690032959,17.659420013427734,17.199838638305664,18.899362564086914,1.7439649105072021,17.199838638305664
Gina Ryder,1,9.877259254455566,9.877259254455566,9.877259254455566,9.877259254455566,0.0,9.877259254455566
Becky Wunder,1,9.883614540100098,9.883614540100098,9.883614540100098,9.883614540100098,0.0,9.883614540100098
April Showers,1,9.88570785522461,9.88570785522461,9.88570785522461,9.88570785522461,0.0,9.885708808898926
