Splittad Mapp|Antal Bilder|Ursprungsmapp|Match 1 Namn|Match 1 Likhet|Match 1 Bilder|Match 2 Namn|Match 2 Likhet|Match 2 Bilder|Match 3 Namn|Match 3 Likhet|Match 3 Bilder
Alissia_1|1|Alissia|Alissia|0.943|1|Alice Peachy|0.297|1|Georgia Sampaio|0.285|1
Jessi Fierce_1|1|Jessi Fierce|Jessi Fierce|0.760|1|Brooke Van Buuren|0.333|1|Ashley Scott|0.302|1
Sybil A_1|1|Sybil A|Sybil A Kailena|0.742|1|Sybil A|0.708|1|Adriana Sweet|0.336|1
Sybil A Kailena_1|1|Sybil A Kailena|Sybil A Kailena|0.736|1|Sybil A|0.679|1|Adriana Sweet|0.355|1
Charley Chase_1|1|Charley Chase|Charley Chase|0.727|1|Jade Indica|0.655|1|Urszula Jade|0.337|1
Crystal Rush_1|1|Crystal Rush|Crystal Rush|0.717|1|Aurelly Rebel|0.584|1|Essie Gotback|0.282|1
Monica Miller_1|1|Monica Miller|Monika Hajkova|0.709|1|Monica Miller|0.701|1|Roxy Dee|0.357|1
Jayden Rose_1|1|Jayden Rose|Ashley Jensen|0.345|1|Rachael Leigh Cook|0.337|1|Sasha Darkheart|0.336|1
Belle_1|1|Belle|Arianna Espen|0.323|1|Zoey Taylor|0.304|1|Danielle Sellers|0.290|1
