label,count,min,median,mean,max,std,centroid_norm,aliases
TJ Powers,7,0.26623767614364624,0.7474304437637329,0.6668794751167297,0.7583910822868347,0.16588367521762848,0.6668794751167297,
Jasmine Grey,17,0.2730811536312103,0.6778865456581116,0.6399828195571899,0.7793723940849304,0.13652293384075165,0.6399828791618347,
Sofie Marie,14,0.28140586614608765,0.7581562399864197,0.6993236541748047,0.8142786622047424,0.14966750144958496,0.6993237733840942,
Sweet Peaches,7,0.28204888105392456,0.6590979099273682,0.6396793127059937,0.7753536701202393,0.16063550114631653,0.6396793127059937,
Ilvy Kokomo,21,0.28264161944389343,0.7917010188102722,0.7313754558563232,0.8442082405090332,0.14800694584846497,0.7313755750656128,
Pearl Diamond,49,0.28286075592041016,0.8268701434135437,0.7862393260002136,0.8741240501403809,0.09962453693151474,0.7862393260002136,
Zoey Paige,15,0.28586679697036743,0.7867952585220337,0.7380924224853516,0.8758984804153442,0.13713893294334412,0.7380924820899963,
Jenny McCarthy,9,0.2866789698600769,0.4584076404571533,0.48983871936798096,0.6657416820526123,0.12052430212497711,0.48983868956565857,
Minka,32,0.2872234284877777,0.7959991097450256,0.7654373645782471,0.872431218624115,0.11644949018955231,0.7654373645782471,
Tarise Taylor,36,0.28915053606033325,0.816657304763794,0.7671948671340942,0.9002435207366943,0.13788604736328125,0.7671948671340942,
Tiffany Leigh,6,0.29167330265045166,0.5563830137252808,0.5423688292503357,0.7774500846862793,0.20679083466529846,0.5423688292503357,
Lola Taylor,58,0.2923688292503357,0.7796854972839355,0.7637486457824707,0.8753684759140015,0.0957827940583229,0.7637485861778259,
Sayaka Tsuji,34,0.29373157024383545,0.7798610925674438,0.711063027381897,0.866469144821167,0.14883877336978912,0.7110630869865417,
Stephanie Saint,16,0.297608345746994,0.8112867474555969,0.761933445930481,0.8663678169250488,0.14047114551067352,0.761933445930481,
Alexa Nasha,28,0.30156415700912476,0.7457326650619507,0.7160502076148987,0.819872260093689,0.10527116060256958,0.7160502076148987,
Julia Sweet,70,0.3017898201942444,0.8069075345993042,0.7903826832771301,0.8786493539810181,0.08164817094802856,0.7903826236724854,
Buffy Tyler,15,0.302421510219574,0.7816427946090698,0.722612738609314,0.8498596549034119,0.166254922747612,0.7226127982139587,
Rachael Cavalli,30,0.30423471331596375,0.7299656271934509,0.7062563300132751,0.8425484895706177,0.11776472628116608,0.7062563896179199,
Maryjane Johnson,6,0.3057798147201538,0.5823735594749451,0.5137032866477966,0.6220839023590088,0.12590572237968445,0.5137032866477966,
Adele Siemens,11,0.30819541215896606,0.810271143913269,0.7134200930595398,0.858392596244812,0.16123849153518677,0.7134201526641846,
Elena Nikulina,9,0.3099503815174103,0.7857368588447571,0.7213099002838135,0.82342529296875,0.1535465270280838,0.721310019493103,
Denise Sky,50,0.3099801540374756,0.8003318905830383,0.7688484787940979,0.8695456385612488,0.10422174632549286,0.7688484787940979,
Tiffany Tyler,86,0.3176719546318054,0.7660934925079346,0.7292665839195251,0.8646382093429565,0.12590759992599487,0.7292665839195251,
Alyssa Lovelace,23,0.31893616914749146,0.7594878673553467,0.7212903499603271,0.8415505290031433,0.10871755331754684,0.7212903499603271,
Anais Amore,24,0.3195306658744812,0.6567869186401367,0.6412315368652344,0.7837870717048645,0.11010570824146271,0.6412315964698792,
Silvie Deluxe,45,0.3203367590904236,0.8576998710632324,0.785931408405304,0.9053287506103516,0.14391976594924927,0.7859313488006592,
Nicole Aria,50,0.32148057222366333,0.6710506677627563,0.6570692658424377,0.8128553628921509,0.10954410582780838,0.6570692658424377,
Greg Centauro,7,0.32254546880722046,0.45136523246765137,0.41311994194984436,0.47530245780944824,0.06224389374256134,0.413119912147522,
Jewelz Blu,50,0.32365652918815613,0.6367723941802979,0.6261085867881775,0.794519305229187,0.09079927951097488,0.6261086463928223,
